id,source,title,artists,venue_raw,venue_key,venue_name,region,address,lat,lng,start_date,end_date,price,url,thumbnail,status,collected_at
b829843ff1be,mmca,개방 수장고 개편,,청주,mmca_cheongju,국립현대미술관 청주,cheongju,충북 청주시 청원구 상당로 314,36.6394,127.4944,2020-12-03,2026-12-31,무료,https://www.mmca.go.kr/exhibitions/exhibitionsDetail.do?exhId=202012030001338&exhFlag=1,https://www.mmca.go.kr/upload/exhibition/2021/07/2021072711383216619535.png,active,2026-05-11T16:33:09Z
8dbbbdd0486d,mmca,로드 무비: 1945년 이후 한·일 미술,"곽인식, 남화연, 다나카 고키, 나카무라 마사토, 무라카미 다카시, 박서보, 서승원, 이불, 이우환, 정연두, 조양규 등 40여 명",과천,mmca_gwacheon,국립현대미술관 과천,gwacheon,경기 과천시 광명로 313,37.431,127.0186,2026-05-14,2026-09-27,"과천 전시관람권 3,000원",https://www.mmca.go.kr/exhibitions/exhibitionsDetail.do?exhId=202408210001821&exhFlag=2,https://www.mmca.go.kr/upload/exhibition/2026/04/2026042908555524716419.gif,upcoming,2026-05-11T16:33:09Z
a6ec77ae545e,mmca,이것은 개념미술이 (아니)다,"곽덕준, 김범, 김순기, 김용익, 김차섭, 김홍석, 박이소, 안규철, 오인환, 정서영 등 20여 명",서울,mmca_seoul,국립현대미술관 서울,seoul,서울 종로구 삼청로 30,37.5793,126.9806,2026-06-19,2026-10-11,-,https://www.mmca.go.kr/exhibitions/exhibitionsDetail.do?exhId=202601060002027&exhFlag=2,https://www.mmca.go.kr/upload/exhibition/2026/01/2026012105052518619667.jpg,upcoming,2026-05-11T16:33:09Z
513e8e6a1473,mmca,과천관 40주년 프로젝트: 빛의 상상들,-,과천,mmca_gwacheon,국립현대미술관 과천,gwacheon,경기 과천시 광명로 313,37.431,127.0186,2026-07-10,2027-10-31,-,https://www.mmca.go.kr/exhibitions/exhibitionsDetail.do?exhId=202601060002026&exhFlag=2,https://www.mmca.go.kr/upload/exhibition/2026/01/2026010610504597216426.png,upcoming,2026-05-11T16:33:09Z
51659f018a70,mmca,올해의 작가상 2026,"이해민선, 홍진훤, 이정우, 전현선",서울,mmca_seoul,국립현대미술관 서울,seoul,서울 종로구 삼청로 30,37.5793,126.9806,2026-07-24,2026-12-06,"2,000원",https://www.mmca.go.kr/exhibitions/exhibitionsDetail.do?exhId=202512310002018&exhFlag=2,https://www.mmca.go.kr/upload/exhibition/2026/01/2026010210464870616917.png,upcoming,2026-05-11T16:33:09Z
580fded5c044,mmca,MMCA×LG OLED 시리즈 2026,-,서울,mmca_seoul,국립현대미술관 서울,seoul,서울 종로구 삼청로 30,37.5793,126.9806,2026-07-31,2026-11-29,-,https://www.mmca.go.kr/exhibitions/exhibitionsDetail.do?exhId=202601060002028&exhFlag=2,https://www.mmca.go.kr/upload/exhibition/2026/01/2026012004105783217595.png,upcoming,2026-05-11T16:33:09Z
576a1c954144,mmca,이대원,이대원,덕수궁,mmca_deoksugung,국립현대미술관 덕수궁,seoul,서울 중구 세종대로 99,37.5658,126.9744,2026-08-06,2026-11-08,-,https://www.mmca.go.kr/exhibitions/exhibitionsDetail.do?exhId=202601120002029&exhFlag=2,https://www.mmca.go.kr/upload/exhibition/2026/01/202601121007334671125.jpg,upcoming,2026-05-11T16:33:09Z
e6f107b3043a,mmca,서도호,서도호,서울,mmca_seoul,국립현대미술관 서울,seoul,서울 종로구 삼청로 30,37.5793,126.9806,2026-08-28,2027-02-09,-,https://www.mmca.go.kr/exhibitions/exhibitionsDetail.do?exhId=202601200002041&exhFlag=2,https://www.mmca.go.kr/upload/exhibition/2026/01/2026012011255342514134.jpg,upcoming,2026-05-11T16:33:09Z
a1a64de63d62,mmca,읽기의 기술: 종이에서 픽셀로,-,서울,mmca_seoul,국립현대미술관 서울,seoul,서울 종로구 삼청로 30,37.5793,126.9806,2026-11-20,2027-04-04,-,https://www.mmca.go.kr/exhibitions/exhibitionsDetail.do?exhId=202601160002037&exhFlag=2,https://www.mmca.go.kr/upload/exhibition/2026/01/2026012010573049519685.jpg,upcoming,2026-05-11T16:33:09Z
37c00224b438,mmca,파리의 이방인,"권옥연, 김기린, 김순기, 김창열, 김흥수, 남관, 문신, 방혜자, 이성자, 이세득, 이응노, 이우환, 이항성, 임세택, 한묵 등 50여 명",덕수궁,mmca_deoksugung,국립현대미술관 덕수궁,seoul,서울 중구 세종대로 99,37.5658,126.9744,2026-12-17,2027-05-09,-,https://www.mmca.go.kr/exhibitions/exhibitionsDetail.do?exhId=202601120002030&exhFlag=2,https://www.mmca.go.kr/upload/exhibition/2026/01/202601121009205461858.jpg,upcoming,2026-05-11T16:33:13Z
