id,source,title,venue_raw,venue_key,venue_name,venue_detail,region,address,lat,lng,start_date,end_date,time_range,target_audience,target_category,price,capacity,application_status,url,thumbnail,status,collected_at
eabfcb234c38,mmca,[서울] 2026년 여름방학 특별 프로그램 ‹장벽은 제로로 음악은 하나로›,서울,mmca_seoul,국립현대미술관 서울,교육동 2층 열린교육공간+,seoul,서울 종로구 삼청로 30,37.5793,126.9806,2026-08-08,2026-08-08,15:00-16:00,어린이 동반 가족,어린이,무료,150,closed,https://www.mmca.go.kr/educations/educationsDetail.do?eduId=202607060001028,https://www.mmca.go.kr/upload/education/2026/07/2026070710555598011617.jpg,upcoming,2026-07-22T20:57:03Z
2a4b524cd0f2,mmca,《방혜자 ― 천지에 마음의 빛 뿌리며 간다》연계 청소년 프로그램 <빛의 레시피>,청주,mmca_cheongju,국립현대미술관 청주,"기획전시실, 2층 배움터",cheongju,충북 청주시 청원구 상당로 314,36.6394,127.4944,2026-08-06,2026-08-13,13:30-15:30,중학생~고등학생,청소년,무료,20명,open,https://www.mmca.go.kr/educations/educationsDetail.do?eduId=202607220001046,https://www.mmca.go.kr/upload/education/2026/07/2026072210411445312610_thumb.png,upcoming,2026-07-22T20:57:03Z
741df1f0c6cf,mmca,«로드 무비: 1945년 이후 한·일 미술»  작가 토크,과천,mmca_gwacheon,국립현대미술관 과천,대강당 소강당,gwacheon,경기 과천시 광명로 313,37.431,127.0186,2026-08-05,2026-09-09,14:00 ~ 15:30,성인,성인,무료,50 ~ 100,open,https://www.mmca.go.kr/educations/educationsDetail.do?eduId=202607160001043,https://www.mmca.go.kr/upload/education/2026/07/2026072006005017613742.jpg,upcoming,2026-07-22T20:57:03Z
13bf29ae3a60,mmca,정연두 작가 토크,과천,mmca_gwacheon,국립현대미술관 과천,대강당,gwacheon,경기 과천시 광명로 313,37.431,127.0186,2026-08-05,2026-08-05,14:00 ~ 15:30,성인,성인,무료,100,open,https://www.mmca.go.kr/educations/educationsDetail.do?eduId=202607140001037,https://www.mmca.go.kr/upload/education/2026/07/202607200909221881100_thumb.jpg,upcoming,2026-07-22T20:57:03Z
9b7599bdf87d,mmca,《방혜자 ― 천지에 마음의 빛 뿌리며 간다》연계 초등학생 대상  <마음의 질감>,청주,mmca_cheongju,국립현대미술관 청주,"기획전시실, 2층 배움터",cheongju,충북 청주시 청원구 상당로 314,36.6394,127.4944,2026-08-04,2026-08-11,14:00-15:30,초등학생 (4~6학년),어린이,무료,20명,open,https://www.mmca.go.kr/educations/educationsDetail.do?eduId=202607220001045,https://www.mmca.go.kr/upload/education/2026/07/2026072210311889713508_thumb.png,upcoming,2026-07-22T20:57:03Z
f4b1f0c8152f,mmca,[과천] 노랫말로 만나는 미술관,어린이미술관,mmca_children,국립현대미술관 어린이미술관,교육실,seoul,서울 종로구 삼청로 30,37.5793,126.9806,2026-08-04,2026-08-06,13:00-14:30,초등학생(1~6학년),어린이미술관,무료,20명,open,https://www.mmca.go.kr/educations/educationsDetail.do?eduId=202606300001017,https://www.mmca.go.kr/upload/education/2026/06/2026063002334563913408_thumb.jpg,upcoming,2026-07-22T20:57:03Z
19c5bd7c5c03,mmca,[서울] 2026년 여름방학 특별 프로그램 ‹미술관에서 만나는 어린이라는 세계›,서울,mmca_seoul,국립현대미술관 서울,교육동 2층 열린교육공간+,seoul,서울 종로구 삼청로 30,37.5793,126.9806,2026-08-01,2026-08-01,14:30-16:00,어린이 동반 가족,어린이,무료,50,closed,https://www.mmca.go.kr/educations/educationsDetail.do?eduId=202607060001027,https://www.mmca.go.kr/upload/education/2026/07/202607060443586691434.jpg,upcoming,2026-07-22T20:57:03Z
efa307b2cbe6,mmca,‹과천40: 토크› 큐레이터 토크_빛의 상상들!,과천,mmca_gwacheon,국립현대미술관 과천,대강당,gwacheon,경기 과천시 광명로 313,37.431,127.0186,2026-07-29,2026-07-29,14:00 ~ 15:30,성인,성인,무료,100,open,https://www.mmca.go.kr/educations/educationsDetail.do?eduId=202607220001047,https://www.mmca.go.kr/upload/education/2026/07/2026072201154233317785_thumb.png,upcoming,2026-07-22T20:57:03Z
2674625c9876,mmca,과천40: 밤의 미술관 탐사,과천,mmca_gwacheon,국립현대미술관 과천,미술관 건축물 내 곳곳,gwacheon,경기 과천시 광명로 313,37.431,127.0186,2026-07-29,2026-08-26,20:00 - 21:30,성인,성인,무료,25,open,https://www.mmca.go.kr/educations/educationsDetail.do?eduId=202607010001023,https://www.mmca.go.kr/upload/education/2026/07/2026071401195833516163_thumb.png,upcoming,2026-07-22T20:57:07Z
307c1d5b0e1d,mmca,[과천] ‹내 마음의 모양›,어린이미술관,mmca_children,국립현대미술관 어린이미술관,"전시실, 교육실",seoul,서울 종로구 삼청로 30,37.5793,126.9806,2026-07-28,2026-07-28,10:30~12:00,유아(7~9세/만6~8세),어린이미술관,무료,20,closed,https://www.mmca.go.kr/educations/educationsDetail.do?eduId=202606290001009,https://www.mmca.go.kr/upload/education/2026/07/2026070110105790313893_thumb.jpg,upcoming,2026-07-22T20:57:07Z
